hkTimeUTC,timeUtc,selSBband,sBandPStat,sBandRStat,fswOpMode,fswSubOpMode,fswRebootCnt,fswMassMem,obcTemp,edacCnt,spDepStatX+,spDepStatX-,spDepStatY-,spDepGpioStatX+,spDepGpioStatX-,spCepGpioStatY-,antDepStatX+,antDepStatX-,spStationTempX+,spStationTempX-,spStationTempY-,spStationTempY+,spUpTopTempX+,spUpTopTempX-,spUpTopTempY-,spUpBotTempX+,spUpBotTempX-,spUpBotTempY-,adcEocY+Z-,adcEocY+Z+,adcEocY-Z-,adcEocY-Z+,adcAntX+,adcAntX-,adcPdhsCaseTemp,adcEwc27CaseTemp,epsDockDevFramStat,epsDockDevAdc1Stat,epsDockDevAdc2Stat,epsDockDevAdc3Stat,epsDockDevTempSenStat,epsDockDevRtcStat,epsMpptMode,epsAcuDevFramStat,epsAcuDevAdc1Stat,epsAcuDevAdc2Stat,epsAcuDevDac1Stat,epsAcuDevDac2Stat,epsAcuDevDac3Stat,epsAcuDevTempSenStat,bat1HeatEnableStat,bat2HeatEnableStat,epsPduDevFramStat,epsPduDevAdc1Stat,epsPduDevAdc2Stat,epsPduDevTempSenStat,epsPwrSwBatStat,epsPwrSwObcStat,epsPwrSwAocsStat,epsPwrSwGpsStat,epsPwrSwSBandStat,epsPwrSwAntStat,epsPwrSwEwc27Stat,epsPwrSwMs200Stat,swStatSolarPanel,swStatEwc27,swStatPdhs,swStatEocHeatZ+,swStatEocHeatZ-,swStatAntHeat,swStatBpxHeat,swStatBusHeat,pwrSwCurPdhsHeat,pwrSwCurObc,pwrSwCurAocs,pwrSwCurGps,pwrSwCurSBand,pwrSwCurAnt,pwrSwCurEwc27,pwrSwCurMs200,pwrSwCurSp,pwrSwVolPdhsHeat,pwrSwVolObc,pwrSwVolAocs,pwrSwVolGps,pwrSwVolSBand,pwrSwVolAnt,pwrSwVolEwc27,pwrSwVolMs200,pwrSwVolSp,pwrSwLatCntPdhsHeat,pwrSwLatCntObc,pwrSwLatCntAocs,pwrSwLatCntGps,pwrSwLatCntSBand,pwrSwLatCntAnt,pwrSwLatCntEwc27,pwrSwLatCntMs200,pwrSwLatCntSp,dockLatCntVccAcu,dockLatCntVccPdu,dockLatCntVbatAcu,dockLatCntVbatPdu,acuCurDepX+,acuCurDepX-,acuCurBodyX+X-,acuCurBodyY-,acuCurBodyY+,acuCurDepY-,acuVolDepX+,acuVolDepX-,acuVolBodyX+X-,acuVolBodyY-,acuVolBodyY+,acuVolDepY-,dockTemp1,dockTemp2,pduTemp,acuTemp1,acuTemp2,acuTemp3,battery1Temp1,battery1Temp2,battery1Temp3,battery1Temp4,battery2Temp1,battery2Temp2,battery2Temp3,battery2Temp4,batteryVol,chargeCur,dischargeCur,dockBootcause,acuBootcause,pduBootcause,bpx1Bootcause,bpx2Bootcause,sBandBootCause,sBandBoardTemp,sBandPaTemp,sBandTxCnt,sBandRxCnt,sBandBootCnt
2023-11-13 21:14:40,1699910080,0,0,0,1,22,0,1910,38,0,0,0,0,0,0,0,0,0,-14.3,-16.5,-8.3,-16.3,-39.3,-66.1,-30.1,-39.1,-66.1,-31.9,3.6002,-0.678,3.9643,-0.3502,-32.6353,-17.4716,12.9599,9.2496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.007,0.229,0.287,0.608,0.11,0.001,-0.011,-0.005,0.012,0.883,3.356,12.173,3.341,5.033,0,0.244,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.018,0.019,0.018,0.017,0.018,0.018,0.362,0.376,0.362,0.389,0.429,0.403,37.2,36.5,42,36.7,36.1,36.5,10,9,11,9,21,21,21,20,32.576,-0.001,0.301,255,0,0,5,5,2,39.9,40.3,45930464,10415055,398
2023-11-13 21:15:00,1699910100,0,0,0,1,22,0,1910,37.7,0,0,0,0,0,0,0,0,0,-14.4,-16.6,-8.6,-16.7,-39.6,-66.2,-30.1,-39.4,-66.3,-32,3.544,-0.7378,3.9363,-0.4394,-33.0865,-18.0382,12.828,9.0893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.007,0.22,0.284,0.611,0.104,0.001,-0.011,-0.002,0.012,0.883,3.371,12.158,3.356,5.033,0,0.244,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.018,0.018,0.018,0.017,0.018,0.018,0.349,0.376,0.362,0.389,0.429,0.403,37,36.3,41.7,36.5,36.1,36.4,10,9,10,9,21,21,21,20,32.576,-0.001,0.296,255,0,0,5,5,2,39.9,39.7,45930988,10415270,398
2023-11-13 21:22:00,1699910520,0,0,0,1,22,0,1910,35.2,0,0,0,0,0,0,0,0,0,-17.1,-16,-12.3,-17.6,-41.5,-51.6,-30.7,-41.5,-52.5,-32.3,2.7252,-0.499,3.1216,-0.2314,-15.442,-10.8695,10.4212,5.9001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.354,0.226,0.2,0.593,0.104,0.001,-0.011,-0.002,0.015,32.603,3.356,12.158,3.356,5.033,0,0.244,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.017,1.056,0.014,0.017,0.013,0.017,17.424,18.337,4.822,1.222,8.168,3.116,36,35,40,36.7,36.5,36.4,9,8,9,8,20,20,20,19,32.576,0.543,0.638,255,0,0,5,5,2,36.4,35.9,45943302,10419140,398
2023-11-13 21:22:30,1699910550,0,0,0,1,22,0,1910,35.2,0,0,0,0,0,0,0,0,0,-17.3,-16.3,-12.4,-17.5,-41.8,-46,-31.6,-41.8,-46.8,-33.2,2.64,-0.3205,3.0368,-0.0537,-7.5843,-18.0382,10.5273,5.7082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.351,0.226,0.191,0.582,0.107,0.001,-0.011,-0.005,0.012,32.603,3.371,12.158,3.356,5.033,0,0.229,0,5.018,0,138,0,0,0,0,0,0,0,0,0,0,0,0.019,1.06,0.014,0.016,0.01,0.016,17.41,18.337,4.863,1.437,13.017,3.922,36,35.1,40,36.7,36.7,36.6,8,7,9,8,20,20,20,19,32.616,0.544,0.64,255,0,0,5,5,2,36.2,35.9,45944874,10419785,398
2023-11-13 21:22:40,1699910560,0,0,0,1,22,0,1910,35.2,0,0,0,0,0,0,0,0,0,-17.3,-16.3,-12.5,-17.5,-41.9,-44.1,-31.9,-41.9,-45,-33.5,2.64,-0.2908,3.0085,-0.0242,-6.2909,-19.1579,10.5804,5.6533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.354,0.226,0.188,0.582,0.107,0.001,-0.011,-0.002,0.012,32.603,3.356,12.173,3.356,5.033,0,0.244,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.019,1.064,0.014,0.016,0.009,0.016,17.666,18.31,4.93,2.539,13.326,4.218,36,35.1,39.7,36.7,36.8,36.7,8,7,9,7,20,20,20,19,32.616,0.548,0.652,255,0,0,5,5,2,36.2,35.8,45945398,10420215,398
2023-11-13 21:22:50,1699910570,0,0,0,1,22,0,1910,35.2,0,0,0,0,0,0,0,0,0,-17.4,-16.4,-12.5,-17.5,-42,-42.3,-32.1,-42,-43.2,-33.8,2.6116,-0.2314,3.0085,0.0349,-5.2644,-20.1194,10.607,5.5984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.354,0.226,0.188,0.576,0.107,0.004,-0.011,-0.002,0.012,32.603,3.356,12.173,3.341,5.033,0,0.229,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.018,1.065,0.014,0.016,0.01,0.016,17.76,18.324,5.037,3.412,13.434,3.761,36,35.1,39.7,37,36.8,36.7,8,7,9,7,20,20,20,19,32.576,0.548,0.654,255,0,0,5,5,2,36.2,36,45945922,10420430,398
2023-11-13 21:23:00,1699910580,0,0,0,1,22,0,1910,35.2,0,0,0,0,0,0,0,0,0,-17.5,-16.5,-12.6,-17.5,-42.1,-40.6,-32.4,-42.1,-41.5,-34,2.5832,-0.2018,2.9803,0.0645,-4.3892,-20.9043,10.66,5.5709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.351,0.226,0.191,0.582,0.107,0.001,-0.011,-0.005,0.012,32.603,3.356,12.173,3.356,5.033,0,0.229,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.018,1.067,0.014,0.015,0.01,0.016,17.464,18.324,5.561,5.494,13.34,3.855,36,35.1,39.7,37,36.9,36.8,8,7,9,7,20,20,20,19,32.616,0.548,0.655,255,0,0,5,5,2,36.2,36.3,45946970,10420860,398
2023-11-13 21:37:54,1699911474,0,0,0,1,22,0,1910,35.5,0,0,0,0,0,0,0,0,0,-16.6,-14.6,-12.1,-18.4,-40.9,-66.2,-29.1,-40.6,-67,-31.3,2.8387,-0.7378,3.2344,-0.499,-35.0005,-5.8906,10.5008,6.2827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0.764,0.226,0.224,0.585,0.617,0.001,-0.011,-0.002,0.012,32.542,3.356,12.158,3.356,5.017,32.768,0.244,0,5.033,0,138,0,0,0,128,0,0,0,0,0,0,0,0.018,0.639,0.266,0.618,0.019,0.015,1.088,18.337,18.404,18.431,0.443,4.782,35.7,34.9,40.2,36.2,35.6,36,9,8,9,8,20,20,20,19,32.522,0.774,1.025,255,0,0,5,5,2,36.5,87.7,45936752,10417850,910
2023-11-11 23:40:43,1699746043,0,0,0,0,6,0,1920,34.2,0,0,0,0,0,0,0,0,0,-18.1,-12.5,-17.6,-17.3,-38.2,37.5,-39.3,-38.3,36.9,-41.1,1.35,0.652,1.6099,1.031,49.8985,-30.039,13.9878,2.2983,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.007,0.223,0.206,0.537,0.104,0.001,-0.014,-0.005,0.012,0.883,3.356,12.173,3.356,5.033,0,0.229,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.039,1.099,0.058,0.065,0.032,0.01,17.451,17.383,17.464,17.531,13.179,12.99,35.5,34.7,38.5,37.7,37.5,37.5,6,4,6,5,17,17,17,16,30.617,0.643,0.304,0,0,0,5,5,2,36,36.6,36638110,10362595,363
2023-11-11 23:40:53,1699746053,0,0,0,0,6,0,1920,34.2,0,0,0,0,0,0,0,0,0,-18.1,-12.5,-17.6,-17.5,-38.3,37.8,-38.9,-38.3,37.1,-40.8,1.35,0.6227,1.6099,1.0019,49.8526,-30.039,14.0405,2.3554,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.01,0.223,0.206,0.522,0.605,0.001,-0.014,-0.005,0.012,0.883,3.371,12.173,3.356,5.017,0,0.229,0,5.033,0,138,0,0,0,0,0,0,0,0,0,0,0,0.039,1.099,0.057,0.07,0.033,0.011,17.464,17.37,17.464,17.531,13.179,13.031,35.7,34.7,38.5,37.7,37.5,37.4,6,4,6,5,17,17,17,16,30.617,0.644,0.303,0,0,0,5,5,2,36,36.7,36638896,10362595,363
